Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes
01/05/2025,4417.01,4239.83,177.18,368.98,244.94,8.74,704.66,0.00,34.78,496.49,758.41,280.00,461.99,720.54,160.30,Maio
05/05/2025,5084.04,4884.63,199.41,209.13,0.00,20.67,784.79,45.12,2.25,601.27,892.37,606.24,983.20,605.12,134.47,Maio
06/05/2025,4654.06,4417.89,236.17,218.53,99.95,1.93,516.58,16.11,0.00,529.51,908.36,482.84,503.36,933.32,207.40,Maio
07/05/2025,5715.95,5239.14,476.81,195.98,331.11,127.97,368.73,0.00,9.35,723.28,848.80,526.80,939.81,955.07,212.24,Maio
08/05/2025,6162.54,5834.80,327.74,1284.27,0.00,0.00,492.77,0.00,4.22,679.26,752.52,781.45,928.45,746.07,165.79,Maio
09/05/2025,6278.12,6083.75,194.37,1461.34,0.00,0.00,369.31,0.00,0.00,762.29,749.74,730.01,514.19,1224.71,272.16,Maio
12/05/2025,4116.73,3919.21,197.52,25.52,0.00,0.00,0.00,0.00,0.00,716.60,494.75,395.35,891.18,1140.33,255.48,Maio
13/05/2025,4817.28,4685.84,131.44,129.10,0.00,0.00,0.00,0.00,0.00,651.60,777.42,629.26,947.70,1268.80,281.96,Maio
14/05/2025,5217.44,4800.09,417.35,253.49,107.78,11.46,81.47,0.00,9.98,627.33,813.80,563.76,801.36,1251.24,278.42,Maio
15/05/2025,6802.98,6515.68,287.30,2402.89,0.00,0.00,291.30,0.00,115.95,685.53,724.79,406.94,748.99,932.05,207.24,Maio
16/05/2025,4835.48,4587.51,247.97,310.90,0.00,0.00,254.19,0.00,0.00,533.63,639.14,444.25,868.08,1257.81,279.51,Maio
19/05/2025,6908.90,6496.85,412.05,2395.69,65.31,0.00,48.73,0.00,0.82,476.95,719.63,618.12,728.35,1180.84,262.41,Maio
20/05/2025,8345.90,7858.76,487.14,2946.79,0.00,0.00,0.00,0.00,0.00,761.46,677.58,737.70,988.92,1428.80,317.51,Maio
21/05/2025,6868.23,6868.23,0.00,1810.18,126.32,0.00,0.00,0.00,30.92,904.41,726.98,474.36,1026.87,1446.70,321.49,Maio
22/05/2025,7787.05,7787.05,0.00,2731.66,0.00,0.00,290.88,0.00,50.92,763.11,646.84,896.75,863.31,1262.93,280.65,Maio
23/05/2025,7516.25,7137.13,379.12,2828.62,0.00,42.94,216.67,0.00,25.77,457.88,491.52,665.16,858.38,1268.34,281.85,Maio
26/05/2025,4847.49,4610.37,237.12,393.31,152.74,0.00,248.64,0.00,7.39,817.72,549.79,668.07,510.85,1032.18,229.68,Maio
27/05/2025,4742.87,4585.69,157.18,291.07,56.12,0.00,0.00,0.00,5.28,759.04,513.67,392.12,1115.19,1188.53,264.67,Maio
28/05/2025,2096.04,2062.48,33.56,159.09,0.00,0.00,0.00,0.00,28.64,168.29,370.79,293.38,528.46,420.41,93.42,Maio
29/05/2025,4478.74,4126.77,351.97,208.98,0.00,0.00,198.67,0.00,28.35,678.46,518.85,617.01,914.64,786.94,174.87,Maio
30/05/2025,4306.70,3941.13,365.57,236.69,116.90,32.37,154.29,0.00,27.80,449.96,606.27,464.28,482.70,1120.55,249.32,Maio
